,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1092,Over and Over,alternative,0.624,0.709,9,-3.983,0,0.0362,0.00676,0.00333,0.171,0.32,109.882,audio_features,1n9OcrmynpZr6h9t63OMAo,spotify:track:1n9OcrmynpZr6h9t63OMAo,https://api.spotify.com/v1/tracks/1n9OcrmynpZr6h9t63OMAo,https://api.spotify.com/v1/audio-analysis/1n9OcrmynpZr6h9t63OMAo,248547,4
1093,Longshot (7 Nights),alternative,0.529,0.649,9,-6.048,0,0.0272,0.000693,0.000519,0.347,0.363,78.996,audio_features,6ijBRwtQ3Raz9eUZpQsCBf,spotify:track:6ijBRwtQ3Raz9eUZpQsCBf,https://api.spotify.com/v1/tracks/6ijBRwtQ3Raz9eUZpQsCBf,https://api.spotify.com/v1/audio-analysis/6ijBRwtQ3Raz9eUZpQsCBf,248333,4
1094,Heart Is Full (feat. Run the Jewels) - Remix,alternative,0.292,0.842,5,-3.535,0,0.125,0.00325,0,0.26,0.531,82.746,audio_features,4wLtsL9o9tjbLG8WSGIqKT,spotify:track:4wLtsL9o9tjbLG8WSGIqKT,https://api.spotify.com/v1/tracks/4wLtsL9o9tjbLG8WSGIqKT,https://api.spotify.com/v1/audio-analysis/4wLtsL9o9tjbLG8WSGIqKT,237691,4
1095,Spiderhead,indie,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49e-05,0.106,0.547,117.962,audio_features,5r5Lj2MkgwQJz6TaBdL865,spotify:track:5r5Lj2MkgwQJz6TaBdL865,https://api.spotify.com/v1/tracks/5r5Lj2MkgwQJz6TaBdL865,https://api.spotify.com/v1/audio-analysis/5r5Lj2MkgwQJz6TaBdL865,222813,4
1096,Come a Little Closer,indie,0.44,0.777,1,-1.786,0,0.0327,0.0265,1.01e-06,0.151,0.306,148.027,audio_features,4sebUbjqbcgDSwG6PbSGI0,spotify:track:4sebUbjqbcgDSwG6PbSGI0,https://api.spotify.com/v1/tracks/4sebUbjqbcgDSwG6PbSGI0,https://api.spotify.com/v1/audio-analysis/4sebUbjqbcgDSwG6PbSGI0,229347,4
1097,Telescope,indie,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,audio_features,0tkBOcK7oRVXQJY97zzSvr,spotify:track:0tkBOcK7oRVXQJY97zzSvr,https://api.spotify.com/v1/tracks/0tkBOcK7oRVXQJY97zzSvr,https://api.spotify.com/v1/audio-analysis/0tkBOcK7oRVXQJY97zzSvr,228293,4
1098,It's Just Forever (feat. Alison Mosshart),indie,0.431,0.89,9,-1.763,0,0.0336,0.00633,0.0054,0.316,0.754,136.279,audio_features,7JSXxBquAJDq28E6XQkJDL,spotify:track:7JSXxBquAJDq28E6XQkJDL,https://api.spotify.com/v1/tracks/7JSXxBquAJDq28E6XQkJDL,https://api.spotify.com/v1/audio-analysis/7JSXxBquAJDq28E6XQkJDL,210333,4
1099,Take It or Leave It,indie,0.71,0.847,0,-3.009,1,0.0892,0.0289,0.000332,0.0613,0.65,119.943,audio_features,43O3Iu8mDJy10i6k8SVRXX,spotify:track:43O3Iu8mDJy10i6k8SVRXX,https://api.spotify.com/v1/tracks/43O3Iu8mDJy10i6k8SVRXX,https://api.spotify.com/v1/audio-analysis/43O3Iu8mDJy10i6k8SVRXX,207320,4
1100,Halo,indie,0.575,0.985,2,-1.038,0,0.0743,0.0399,0,0.166,0.476,116.011,audio_features,00CqEmnPLFKDhAb3cuu6Cs,spotify:track:00CqEmnPLFKDhAb3cuu6Cs,https://api.spotify.com/v1/tracks/00CqEmnPLFKDhAb3cuu6Cs,https://api.spotify.com/v1/audio-analysis/00CqEmnPLFKDhAb3cuu6Cs,177960,4
1101,Black Widow,indie,0.419,0.895,6,-0.747,0,0.0497,0.0151,0,0.117,0.718,127.269,audio_features,3zQJdKcFjiHEz7Xqum4bom,spotify:track:3zQJdKcFjiHEz7Xqum4bom,https://api.spotify.com/v1/tracks/3zQJdKcFjiHEz7Xqum4bom,https://api.spotify.com/v1/audio-analysis/3zQJdKcFjiHEz7Xqum4bom,187187,4
1102,Hypocrite,indie,0.629,0.938,9,-3.293,1,0.0323,0.143,0.0149,0.115,0.628,104.998,audio_features,1PmaWG47wJRCIOM9v8Bauo,spotify:track:1PmaWG47wJRCIOM9v8Bauo,https://api.spotify.com/v1/tracks/1PmaWG47wJRCIOM9v8Bauo,https://api.spotify.com/v1/audio-analysis/1PmaWG47wJRCIOM9v8Bauo,248987,4
1103,Teeth,indie,0.295,0.976,11,-1.267,0,0.108,0.186,0.00243,0.0709,0.261,136.754,audio_features,6MtJnnoTMozorcmelPpy8Y,spotify:track:6MtJnnoTMozorcmelPpy8Y,https://api.spotify.com/v1/tracks/6MtJnnoTMozorcmelPpy8Y,https://api.spotify.com/v1/audio-analysis/6MtJnnoTMozorcmelPpy8Y,327027,4
1104,In One Ear,indie,0.326,0.948,1,-4.315,0,0.0606,0.000258,0,0.367,0.358,166.388,audio_features,0f8MA1n2bvsg7eGvYZ4lhx,spotify:track:0f8MA1n2bvsg7eGvYZ4lhx,https://api.spotify.com/v1/tracks/0f8MA1n2bvsg7eGvYZ4lhx,https://api.spotify.com/v1/audio-analysis/0f8MA1n2bvsg7eGvYZ4lhx,241320,4
1105,James Brown,indie,0.412,0.966,10,-3.007,0,0.0383,0.000502,0,0.225,0.735,143.09,audio_features,3Vz4JalmlS6UuoH7cUtEDn,spotify:track:3Vz4JalmlS6UuoH7cUtEDn,https://api.spotify.com/v1/tracks/3Vz4JalmlS6UuoH7cUtEDn,https://api.spotify.com/v1/audio-analysis/3Vz4JalmlS6UuoH7cUtEDn,200680,4
1106,Ain't No Rest for the Wicked,indie,0.634,0.849,0,-7.075,1,0.105,0.0438,0,0.363,0.919,156.004,audio_features,3kb72STxc2959ZqsTwu52i,spotify:track:3kb72STxc2959ZqsTwu52i,https://api.spotify.com/v1/tracks/3kb72STxc2959ZqsTwu52i,https://api.spotify.com/v1/audio-analysis/3kb72STxc2959ZqsTwu52i,175493,4
1107,Tiny Little Robots,indie,0.239,0.947,2,-4.413,1,0.0966,0.00248,0,0.851,0.418,157.875,audio_features,1i90C0EWkn0b52X9Yyu8Zs,spotify:track:1i90C0EWkn0b52X9Yyu8Zs,https://api.spotify.com/v1/tracks/1i90C0EWkn0b52X9Yyu8Zs,https://api.spotify.com/v1/audio-analysis/1i90C0EWkn0b52X9Yyu8Zs,250520,4
1108,Lotus,indie,0.398,0.809,6,-6.163,0,0.0359,0.00182,0,0.334,0.493,128.495,audio_features,0MtgNXtojIxW55FTkKKhnB,spotify:track:0MtgNXtojIxW55FTkKKhnB,https://api.spotify.com/v1/tracks/0MtgNXtojIxW55FTkKKhnB,https://api.spotify.com/v1/audio-analysis/0MtgNXtojIxW55FTkKKhnB,196560,4
1109,Drones In The Valley,indie,0.505,0.887,0,-4.658,1,0.0379,0.000299,0,0.532,0.85,133.973,audio_features,4DfYuUiiLdJ3PrMSm7WEAo,spotify:track:4DfYuUiiLdJ3PrMSm7WEAo,https://api.spotify.com/v1/tracks/4DfYuUiiLdJ3PrMSm7WEAo,https://api.spotify.com/v1/audio-analysis/4DfYuUiiLdJ3PrMSm7WEAo,147853,4
1110,Judas,indie,0.322,0.97,5,-5.083,0,0.0531,3.37e-05,0,0.291,0.466,137.557,audio_features,5EcC0NWkgVT078bIrDBZjY,spotify:track:5EcC0NWkgVT078bIrDBZjY,https://api.spotify.com/v1/tracks/5EcC0NWkgVT078bIrDBZjY,https://api.spotify.com/v1/audio-analysis/5EcC0NWkgVT078bIrDBZjY,206667,4
1111,Back Stabbin' Betty,indie,0.317,0.856,2,-4.173,1,0.0445,0.0069,0,0.127,0.699,204.078,audio_features,4TWdNyHPYA1z5sfaL8XKuU,spotify:track:4TWdNyHPYA1z5sfaL8XKuU,https://api.spotify.com/v1/tracks/4TWdNyHPYA1z5sfaL8XKuU,https://api.spotify.com/v1/audio-analysis/4TWdNyHPYA1z5sfaL8XKuU,219000,4
1112,Soil To The Sun,indie,0.528,0.935,7,-3.772,0,0.0365,0.000414,1.01e-06,0.135,0.584,131.035,audio_features,1aR1ZPLsdWq2jgXMs6KX6u,spotify:track:1aR1ZPLsdWq2jgXMs6KX6u,https://api.spotify.com/v1/tracks/1aR1ZPLsdWq2jgXMs6KX6u,https://api.spotify.com/v1/audio-analysis/1aR1ZPLsdWq2jgXMs6KX6u,197520,4
1113,Free Love,indie,0.206,0.962,2,-3.912,1,0.164,0.000341,0,0.0877,0.292,153.755,audio_features,75OpL67uwHgyisOMd6Hj0M,spotify:track:75OpL67uwHgyisOMd6Hj0M,https://api.spotify.com/v1/tracks/75OpL67uwHgyisOMd6Hj0M,https://api.spotify.com/v1/audio-analysis/75OpL67uwHgyisOMd6Hj0M,208533,4
1114,R U Mine?,indie,0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,audio_features,2LlvrdnLa3XbB1b4jYuCnl,spotify:track:2LlvrdnLa3XbB1b4jYuCnl,https://api.spotify.com/v1/tracks/2LlvrdnLa3XbB1b4jYuCnl,https://api.spotify.com/v1/audio-analysis/2LlvrdnLa3XbB1b4jYuCnl,201726,4
1115,One For The Road,indie,0.415,0.668,0,-6.849,1,0.036,0.212,0.0615,0.27,0.842,180.048,audio_features,3nCkURI30dSOA2ibF493nf,spotify:track:3nCkURI30dSOA2ibF493nf,https://api.spotify.com/v1/tracks/3nCkURI30dSOA2ibF493nf,https://api.spotify.com/v1/audio-analysis/3nCkURI30dSOA2ibF493nf,206052,4
1116,Arabella,indie,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,audio_features,2LdG9xtEzCho3jCr58M6cq,spotify:track:2LdG9xtEzCho3jCr58M6cq,https://api.spotify.com/v1/tracks/2LdG9xtEzCho3jCr58M6cq,https://api.spotify.com/v1/audio-analysis/2LdG9xtEzCho3jCr58M6cq,207357,4
1117,I Want It All,indie,0.499,0.81,5,-5.579,1,0.0347,0.000637,0.0748,0.0625,0.288,131.052,audio_features,6a6EnneRMZqlKW9NvOSUBk,spotify:track:6a6EnneRMZqlKW9NvOSUBk,https://api.spotify.com/v1/tracks/6a6EnneRMZqlKW9NvOSUBk,https://api.spotify.com/v1/audio-analysis/6a6EnneRMZqlKW9NvOSUBk,185406,4
1118,No. 1 Party Anthem,indie,0.505,0.698,0,-5.563,1,0.0297,0.33,0.0887,0.0966,0.599,115.013,audio_features,7ArHv3Ry2dWHFwQ8b5BoON,spotify:track:7ArHv3Ry2dWHFwQ8b5BoON,https://api.spotify.com/v1/tracks/7ArHv3Ry2dWHFwQ8b5BoON,https://api.spotify.com/v1/audio-analysis/7ArHv3Ry2dWHFwQ8b5BoON,243132,4
1119,Mad Sounds,indie,0.532,0.462,10,-10.71,1,0.03,0.279,0.196,0.101,0.485,80.001,audio_features,3msQ1AerRdSbjrBk3F4W0q,spotify:track:3msQ1AerRdSbjrBk3F4W0q,https://api.spotify.com/v1/tracks/3msQ1AerRdSbjrBk3F4W0q,https://api.spotify.com/v1/audio-analysis/3msQ1AerRdSbjrBk3F4W0q,215012,4
