,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
15,I Mean It (feat. Remo),rap,0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140.0,audio_features,6jmTHeoWvBaSrwWttr8Xvu,spotify:track:6jmTHeoWvBaSrwWttr8Xvu,https://api.spotify.com/v1/tracks/6jmTHeoWvBaSrwWttr8Xvu,https://api.spotify.com/v1/audio-analysis/6jmTHeoWvBaSrwWttr8Xvu,236480,4
16,The Explanation,rap,0.597,0.113,0,-34.475,1,0.954,0.461,0.000393,0.148,0.313,81.311,audio_features,0VJYhKhrHgJ7fgjGaC2k07,spotify:track:0VJYhKhrHgJ7fgjGaC2k07,https://api.spotify.com/v1/tracks/0VJYhKhrHgJ7fgjGaC2k07,https://api.spotify.com/v1/audio-analysis/0VJYhKhrHgJ7fgjGaC2k07,50748,5
17,Jocelyn Flores,rap,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,7m9OqQk4RVRkw9JJdeAw96,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4
18,Depression & Obsession,rap,0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,audio_features,2H3wWrnO758y0fPH7Ilerg,spotify:track:2H3wWrnO758y0fPH7Ilerg,https://api.spotify.com/v1/tracks/2H3wWrnO758y0fPH7Ilerg,https://api.spotify.com/v1/audio-analysis/2H3wWrnO758y0fPH7Ilerg,144733,4
19,Everybody Dies In Their Nightmares,rap,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,audio_features,3GVkPk8mqxz0itaAriG1L7,spotify:track:3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7,95467,4
20,Revenge,rap,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,audio_features,5TXDeTFVRVY7Cvt0Dw4vWW,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,https://api.spotify.com/v1/tracks/5TXDeTFVRVY7Cvt0Dw4vWW,https://api.spotify.com/v1/audio-analysis/5TXDeTFVRVY7Cvt0Dw4vWW,120027,4
21,Save Me,rap,0.731,0.204,9,-11.314,0,0.0369,0.307,0.0109,0.0989,0.191,142.141,audio_features,2UwbhMie1EAYuTZ0QXeMwl,spotify:track:2UwbhMie1EAYuTZ0QXeMwl,https://api.spotify.com/v1/tracks/2UwbhMie1EAYuTZ0QXeMwl,https://api.spotify.com/v1/audio-analysis/2UwbhMie1EAYuTZ0QXeMwl,163202,4
22,Dead Inside (Interlude),rap,0.461,0.0279,0,-21.992,1,0.0412,0.973,0.00226,0.169,0.354,88.388,audio_features,2vQwlW8H1jFveGNXwZfJCV,spotify:track:2vQwlW8H1jFveGNXwZfJCV,https://api.spotify.com/v1/tracks/2vQwlW8H1jFveGNXwZfJCV,https://api.spotify.com/v1/audio-analysis/2vQwlW8H1jFveGNXwZfJCV,86827,4
23,Fuck Love (feat. Trippie Redd),rap,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,audio_features,7AQim7LbvFVZJE3O8TYgf2,spotify:track:7AQim7LbvFVZJE3O8TYgf2,https://api.spotify.com/v1/tracks/7AQim7LbvFVZJE3O8TYgf2,https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2,146520,4
24,Carry On,rap,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,audio_features,2yZax79pOrYuyIFVW2cZY2,spotify:track:2yZax79pOrYuyIFVW2cZY2,https://api.spotify.com/v1/tracks/2yZax79pOrYuyIFVW2cZY2,https://api.spotify.com/v1/audio-analysis/2yZax79pOrYuyIFVW2cZY2,129720,4
25,Orlando,rap,0.57,0.0279,1,-22.282,1,0.0588,0.859,0.0892,0.254,0.28,84.902,audio_features,05bnEv2dpFzmGVLGdjD9UP,spotify:track:05bnEv2dpFzmGVLGdjD9UP,https://api.spotify.com/v1/tracks/05bnEv2dpFzmGVLGdjD9UP,https://api.spotify.com/v1/audio-analysis/05bnEv2dpFzmGVLGdjD9UP,163840,4
26,Ayala (Outro),rap,0.57,0.285,9,-14.125,0,0.0381,0.737,0.0133,0.108,0.0973,83.485,audio_features,5xbrhx2tMMcN68IT3cJbhS,spotify:track:5xbrhx2tMMcN68IT3cJbhS,https://api.spotify.com/v1/tracks/5xbrhx2tMMcN68IT3cJbhS,https://api.spotify.com/v1/audio-analysis/5xbrhx2tMMcN68IT3cJbhS,99707,4
27,That's All I Need,rock,0.765,0.657,11,-6.394,0,0.0829,0.0175,0,0.345,0.553,91.998,audio_features,4DwguUsNBxsjZfmMzHZpCR,spotify:track:4DwguUsNBxsjZfmMzHZpCR,https://api.spotify.com/v1/tracks/4DwguUsNBxsjZfmMzHZpCR,https://api.spotify.com/v1/audio-analysis/4DwguUsNBxsjZfmMzHZpCR,213147,4
28,Time (feat. G-Eazy & Olivver the Kid),rap,0.711,0.65,9,-7.186,0,0.191,0.0182,0,0.0948,0.386,95.814,audio_features,1UmqCjLXjTwPmuTeaopDQh,spotify:track:1UmqCjLXjTwPmuTeaopDQh,https://api.spotify.com/v1/tracks/1UmqCjLXjTwPmuTeaopDQh,https://api.spotify.com/v1/audio-analysis/1UmqCjLXjTwPmuTeaopDQh,235240,4
29,Guns for Hands,rock,0.684,0.858,1,-4.266,1,0.0342,0.00694,0.000167,0.0828,0.518,129.963,audio_features,4RdRa3qq0GBSKjomxrkh5K,spotify:track:4RdRa3qq0GBSKjomxrkh5K,https://api.spotify.com/v1/tracks/4RdRa3qq0GBSKjomxrkh5K,https://api.spotify.com/v1/audio-analysis/4RdRa3qq0GBSKjomxrkh5K,273336,4
30,My Humps,rap,0.801,0.682,1,-5.919,0,0.225,0.111,1.56e-05,0.109,0.586,123.95,audio_features,19JdbdEwQI7bCxefMokZO8,spotify:track:19JdbdEwQI7bCxefMokZO8,https://api.spotify.com/v1/tracks/19JdbdEwQI7bCxefMokZO8,https://api.spotify.com/v1/audio-analysis/19JdbdEwQI7bCxefMokZO8,326960,4
31,Vagabond,pop,0.638,0.52,7,-6.708,1,0.0271,0.654,1.18e-05,0.24,0.537,95.92,audio_features,310BgC3S2W0Cl8w0OmyS3n,spotify:track:310BgC3S2W0Cl8w0OmyS3n,https://api.spotify.com/v1/tracks/310BgC3S2W0Cl8w0OmyS3n,https://api.spotify.com/v1/audio-analysis/310BgC3S2W0Cl8w0OmyS3n,185867,4
32,Someday,pop,0.485,0.913,9,-4.614,0,0.0351,8.84e-06,0.664,0.199,0.665,144.02,audio_features,52tI5MEuR2a0NhnwWdNd5g,spotify:track:52tI5MEuR2a0NhnwWdNd5g,https://api.spotify.com/v1/tracks/52tI5MEuR2a0NhnwWdNd5g,https://api.spotify.com/v1/audio-analysis/52tI5MEuR2a0NhnwWdNd5g,223120,4
